ticker,expiration,total_volume_call,total_volume_put,put_call_ratio_volume,total_oi_call,total_oi_put,put_call_ratio_oi
ARKQ,2026-04-17,28.0,6.0,0.2143,122.0,44.0,0.3607
ARKQ,2026-05-15,1.0,36.0,36.0,31.0,39.0,1.2581
ARKQ,2026-06-18,62.0,150.0,2.4194,475.0,636.0,1.3389
ARKQ,2026-09-18,44.0,17.0,0.3864,277.0,57.0,0.2058
ARKQ,2026-12-18,83.0,15.0,0.1807,551.0,118.0,0.2142
BOTZ,2026-04-17,59.0,29.0,0.4915,467.0,155.0,0.3319
BOTZ,2026-05-15,45.0,0.0,0.0,123.0,0.0,0.0
BOTZ,2026-06-18,57.0,31.0,0.5439,3198.0,2165.0,0.677
BOTZ,2026-09-18,104.0,3540.0,34.0385,1152.0,3725.0,3.2335
QQQ,2026-04-08,820119.0,799430.0,0.9748,233471.0,223342.0,0.9566
QQQ,2026-04-09,131703.0,99471.0,0.7553,65846.0,98830.0,1.5009
QQQ,2026-04-10,153601.0,193731.0,1.2613,240766.0,292823.0,1.2162
QQQ,2026-04-13,24069.0,68107.0,2.8297,24673.0,158538.0,6.4256
QQQ,2026-04-14,19221.0,13622.0,0.7087,38459.0,47570.0,1.2369
QQQ,2026-04-15,12785.0,8162.0,0.6384,18037.0,14655.0,0.8125
QQQ,2026-04-16,8047.0,1988.0,0.247,7927.0,10553.0,1.3313
QQQ,2026-04-17,116357.0,264583.0,2.2739,709021.0,841081.0,1.1863
QQQ,2026-04-20,8208.0,3760.0,0.4581,6432.0,4882.0,0.759
QQQ,2026-04-24,16877.0,30679.0,1.8178,71921.0,68389.0,0.9509
QQQ,2026-04-30,19280.0,33585.0,1.742,108536.0,142721.0,1.315
QQQ,2026-05-01,35890.0,13886.0,0.3869,41210.0,58645.0,1.4231
QQQ,2026-05-08,6083.0,15346.0,2.5228,21677.0,23701.0,1.0934
QQQ,2026-05-15,37125.0,75456.0,2.0325,389560.0,505980.0,1.2988
QQQ,2026-05-22,2344.0,4019.0,1.7146,3989.0,6324.0,1.5854
QQQ,2026-05-29,3872.0,7278.0,1.8796,38929.0,38526.0,0.9896
QQQ,2026-06-18,23555.0,34289.0,1.4557,545293.0,931924.0,1.709
QQQ,2026-06-30,4750.0,8298.0,1.7469,109146.0,89973.0,0.8243
QQQ,2026-07-17,3311.0,4878.0,1.4733,4754.0,8421.0,1.7714
QQQ,2026-08-21,7575.0,7427.0,0.9805,67796.0,56319.0,0.8307
QQQ,2026-09-18,7022.0,6574.0,0.9362,274593.0,632711.0,2.3042
QQQ,2026-09-30,978.0,695.0,0.7106,22613.0,51538.0,2.2791
QQQ,2026-10-16,774.0,1052.0,1.3592,5838.0,10267.0,1.7587
QQQ,2026-12-18,5311.0,15445.0,2.9081,239182.0,445240.0,1.8615
QQQ,2026-12-31,769.0,1189.0,1.5462,24548.0,22893.0,0.9326
QQQ,2027-01-15,3661.0,3171.0,0.8662,182157.0,191593.0,1.0518
QQQ,2027-03-19,2654.0,3113.0,1.1729,57122.0,64684.0,1.1324
QQQ,2027-03-31,63.0,267.0,4.2381,191.0,2570.0,13.4555
QQQ,2027-06-17,1272.0,2623.0,2.0621,88018.0,121451.0,1.3798
QQQ,2027-09-17,3396.0,947.0,0.2789,21310.0,22591.0,1.0601
QQQ,2027-12-17,1436.0,3637.0,2.5327,82743.0,115046.0,1.3904
QQQ,2028-01-21,1497.0,981.0,0.6553,46843.0,114466.0,2.4436
QQQ,2028-06-16,2944.0,1141.0,0.3876,12346.0,15564.0,1.2607
QQQ,2028-12-15,200.0,500.0,2.5,3648.0,1898.0,0.5203
VOO,2026-04-10,2238.0,903.0,0.4035,8467.0,4735.0,0.5592
VOO,2026-04-17,1076.0,1316.0,1.223,9546.0,9395.0,0.9842
VOO,2026-04-24,241.0,125.0,0.5187,2080.0,1016.0,0.4885
VOO,2026-05-01,320.0,130.0,0.4062,1694.0,781.0,0.461
VOO,2026-05-08,177.0,19.0,0.1073,413.0,65.0,0.1574
VOO,2026-05-15,480.0,526.0,1.0958,2558.0,1278.0,0.4996
VOO,2026-05-22,27.0,295.0,10.9259,703.0,250.0,0.3556
VOO,2026-06-18,487.0,186.0,0.3819,2200.0,1226.0,0.5573
VOO,2026-07-17,209.0,206.0,0.9856,2128.0,3794.0,1.7829
VOO,2026-09-18,55.0,632.0,11.4909,546.0,1196.0,2.1905
VOO,2026-10-16,100.0,52.0,0.52,2808.0,697.0,0.2482
VOO,2027-01-15,230.0,683.0,2.9696,14490.0,8498.0,0.5865
VOO,2027-06-17,23.0,54.0,2.3478,60.0,170.0,2.8333
VOO,2028-01-21,2643.0,2090.0,0.7908,4743.0,2629.0,0.5543
VOO,2028-06-16,14.0,0.0,0.0,14.0,0.0,0.0
VOO,2028-12-15,475.0,2073.0,4.3642,3612.0,1176.0,0.3256
